file_path,filename,overall_score,structure_score,metadata_score,performance_score,security_score,error_count,warning_count
d:\source\tafreeman\prompts\prompts\advanced\rag-document-retrieval.md,rag-document-retrieval.md,72.0,90.0,74.0,50.0,70.0,1,6
d:\source\tafreeman\prompts\prompts\advanced\react-tool-augmented.md,react-tool-augmented.md,72.0,90.0,74.0,50.0,70.0,1,6
d:\source\tafreeman\prompts\prompts\advanced\tree-of-thoughts-architecture-evaluator.md,tree-of-thoughts-architecture-evaluator.md,72.0,90.0,74.0,50.0,70.0,1,6
d:\source\tafreeman\prompts\prompts\business\agile-sprint-planner.md,agile-sprint-planner.md,72.0,90.0,74.0,50.0,70.0,1,6
d:\source\tafreeman\prompts\prompts\business\change-management-coordinator.md,change-management-coordinator.md,72.0,90.0,74.0,50.0,70.0,1,6
d:\source\tafreeman\prompts\prompts\business\stakeholder-communication-manager.md,stakeholder-communication-manager.md,72.0,90.0,74.0,50.0,70.0,1,6
d:\source\tafreeman\prompts\prompts\developers\cloud-migration-specialist.md,cloud-migration-specialist.md,72.0,90.0,74.0,50.0,70.0,1,6
d:\source\tafreeman\prompts\prompts\m365\m365-daily-standup-assistant.md,m365-daily-standup-assistant.md,72.0,90.0,74.0,50.0,70.0,1,6
d:\source\tafreeman\prompts\prompts\advanced\chain-of-thought-guide.md,chain-of-thought-guide.md,72.75,85.0,74.0,50.0,80.0,1,6
d:\source\tafreeman\prompts\prompts\m365\m365-excel-formula-expert.md,m365-excel-formula-expert.md,73.0,80.0,64.0,65.0,80.0,2,5
d:\source\tafreeman\prompts\prompts\system\compliance-architecture-designer.md,compliance-architecture-designer.md,73.0,90.0,74.0,65.0,60.0,1,6
d:\source\tafreeman\prompts\prompts\advanced\chain-of-thought-detailed.md,chain-of-thought-detailed.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\advanced\chain-of-thought-performance-analysis.md,chain-of-thought-performance-analysis.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\advanced\library-analysis-react.md,library-analysis-react.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\advanced\react-doc-search-synthesis.md,react-doc-search-synthesis.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\advanced\reflection-self-critique.md,reflection-self-critique.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\advanced\tree-of-thoughts-template.md,tree-of-thoughts-template.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\analysis\competitive-intelligence-researcher.md,competitive-intelligence-researcher.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\analysis\data-analysis-insights.md,data-analysis-insights.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\analysis\data-quality-assessment.md,data-quality-assessment.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\business\budget-and-cost-controller.md,budget-and-cost-controller.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\business\business-strategy-analysis.md,business-strategy-analysis.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\business\risk-management-analyst.md,risk-management-analyst.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\creative\content-marketing-blog-post.md,content-marketing-blog-post.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\developers\devops-pipeline-architect.md,devops-pipeline-architect.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\developers\microservices-architect.md,microservices-architect.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\developers\refactoring-plan-designer.md,refactoring-plan-designer.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\governance\legal-contract-review.md,legal-contract-review.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\m365\m365-data-insights-assistant.md,m365-data-insights-assistant.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\m365\m365-document-summarizer.md,m365-document-summarizer.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\m365\m365-email-triage-helper.md,m365-email-triage-helper.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\m365\m365-meeting-prep-brief.md,m365-meeting-prep-brief.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\m365\m365-meeting-recap-assistant.md,m365-meeting-recap-assistant.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\m365\m365-personal-task-collector.md,m365-personal-task-collector.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\m365\m365-presentation-outline-generator.md,m365-presentation-outline-generator.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\m365\m365-project-status-reporter.md,m365-project-status-reporter.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\m365\m365-weekly-review-coach.md,m365-weekly-review-coach.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\system\ai-assistant-system-prompt.md,ai-assistant-system-prompt.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\system\prompt-quality-evaluator.md,prompt-quality-evaluator.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\system\tree-of-thoughts-repository-evaluator.md,tree-of-thoughts-repository-evaluator.md,74.0,90.0,74.0,50.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\developers\test-automation-engineer.md,test-automation-engineer.md,74.25,95.0,82.0,55.0,50.0,1,7
d:\source\tafreeman\prompts\prompts\advanced\tree-of-thoughts-evaluator-reflection.md,tree-of-thoughts-evaluator-reflection.md,74.5,80.0,74.0,65.0,80.0,1,5
d:\source\tafreeman\prompts\prompts\system\legacy-modernization-architect.md,legacy-modernization-architect.md,75.0,90.0,74.0,65.0,70.0,1,5
d:\source\tafreeman\prompts\prompts\developers\mid-level-developer-architecture-coach.md,mid-level-developer-architecture-coach.md,75.75,90.0,77.0,65.0,70.0,1,5
d:\source\tafreeman\prompts\prompts\developers\data-pipeline-engineer.md,data-pipeline-engineer.md,76.0,90.0,74.0,65.0,70.0,1,5
d:\source\tafreeman\prompts\prompts\advanced\chain-of-thought-concise.md,chain-of-thought-concise.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\business-case-developer.md,business-case-developer.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\competitive-analysis-researcher.md,competitive-analysis-researcher.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\market-research-analyst.md,market-research-analyst.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\requirements-analysis-expert.md,requirements-analysis-expert.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\business-process-reengineering.md,business-process-reengineering.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\client-presentation-designer.md,client-presentation-designer.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\crisis-management-coordinator.md,crisis-management-coordinator.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\digital-transformation-advisor.md,digital-transformation-advisor.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\due-diligence-analyst.md,due-diligence-analyst.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\innovation-strategy-consultant.md,innovation-strategy-consultant.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\management-consulting-expert.md,management-consulting-expert.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\market-entry-strategist.md,market-entry-strategist.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\meeting-facilitator.md,meeting-facilitator.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\performance-improvement-consultant.md,performance-improvement-consultant.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\project-closure-specialist.md,project-closure-specialist.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\project-documentation-manager.md,project-documentation-manager.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\quality-assurance-planner.md,quality-assurance-planner.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\strategic-planning-consultant.md,strategic-planning-consultant.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\timeline-and-milestone-tracker.md,timeline-and-milestone-tracker.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\vendor-management-coordinator.md,vendor-management-coordinator.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\developers\code-generation-assistant.md,code-generation-assistant.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\developers\code-review-assistant.md,code-review-assistant.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\developers\database-schema-designer.md,database-schema-designer.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\developers\documentation-generator.md,documentation-generator.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\developers\frontend-architecture-consultant.md,frontend-architecture-consultant.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\developers\legacy-system-modernization.md,legacy-system-modernization.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\developers\mobile-app-developer.md,mobile-app-developer.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\developers\performance-optimization-specialist.md,performance-optimization-specialist.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\api-architecture-designer.md,api-architecture-designer.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\cloud-architecture-consultant.md,cloud-architecture-consultant.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\data-architecture-designer.md,data-architecture-designer.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\devops-architecture-planner.md,devops-architecture-planner.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\disaster-recovery-architect.md,disaster-recovery-architect.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\enterprise-integration-architect.md,enterprise-integration-architect.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\frontier-agent-deep-research.md,frontier-agent-deep-research.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\iot-architecture-designer.md,iot-architecture-designer.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\m365-copilot-research-agent.md,m365-copilot-research-agent.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\microservices-architecture-expert.md,microservices-architecture-expert.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\mobile-architecture-consultant.md,mobile-architecture-consultant.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\performance-architecture-optimizer.md,performance-architecture-optimizer.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\security-architecture-specialist.md,security-architecture-specialist.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\solution-architecture-designer.md,solution-architecture-designer.md,77.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\developers\csharp-enterprise-standards-enforcer.md,csharp-enterprise-standards-enforcer.md,77.75,90.0,77.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\developers\csharp-refactoring-assistant.md,csharp-refactoring-assistant.md,77.75,90.0,77.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\developers\dotnet-api-designer.md,dotnet-api-designer.md,77.75,90.0,77.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\developers\sql-query-analyzer.md,sql-query-analyzer.md,77.75,90.0,77.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\consumer-behavior-researcher.md,consumer-behavior-researcher.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\data-analysis-specialist.md,data-analysis-specialist.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\gap-analysis-expert.md,gap-analysis-expert.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\industry-analysis-expert.md,industry-analysis-expert.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\library-capability-radar.md,library-capability-radar.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\library-network-graph.md,library-network-graph.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\library-structure-treemap.md,library-structure-treemap.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\metrics-and-kpi-designer.md,metrics-and-kpi-designer.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\process-optimization-consultant.md,process-optimization-consultant.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\stakeholder-requirements-gatherer.md,stakeholder-requirements-gatherer.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\trend-analysis-specialist.md,trend-analysis-specialist.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\user-experience-analyst.md,user-experience-analyst.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\analysis\workflow-designer.md,workflow-designer.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\organizational-change-manager.md,organizational-change-manager.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\resource-allocation-optimizer.md,resource-allocation-optimizer.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\business\team-performance-manager.md,team-performance-manager.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\blockchain-architecture-specialist.md,blockchain-architecture-specialist.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\system\office-agent-technical-specs.md,office-agent-technical-specs.md,78.0,90.0,74.0,65.0,80.0,1,4
d:\source\tafreeman\prompts\prompts\developers\sql-security-standards-enforcer.md,sql-security-standards-enforcer.md,78.25,90.0,79.0,65.0,80.0,1,3
d:\source\tafreeman\prompts\prompts\developers\api-design-consultant.md,api-design-consultant.md,81.0,90.0,82.0,55.0,100.0,1,4
d:\source\tafreeman\prompts\prompts\developers\code-review-expert-structured.md,code-review-expert-structured.md,84.25,95.0,82.0,55.0,100.0,1,2
d:\source\tafreeman\prompts\prompts\developers\code-review-expert.md,code-review-expert.md,84.25,95.0,82.0,55.0,100.0,1,2
d:\source\tafreeman\prompts\prompts\developers\security-code-auditor.md,security-code-auditor.md,84.25,95.0,82.0,55.0,100.0,1,2
